Tag No.,Date of Birth,Sex,Sire,Dam,Source,Status,No. of Calves,Notes
,17/07/2024,,,,,,,
,18/07/2024,,,,,,,
,19/07/2024,,,,,,,
,20/07/2024,,,,,,,
,21/07/2024,,,,,,,
,22/07/2024,,,,,,,
,23/07/2024,,,,,,,
,24/07/2024,,,,,,,
,25/07/2024,,,,,,,
,26/07/2024,,,,,,,
,27/07/2024,,,,,,,
,28/07/2024,,,,,,,
,29/07/2024,,,,,,,
,30/07/2024,,,,,,,
,31/07/2024,,,,,,,
,01/08/2024,,,,,,,
,02/08/2024,,,,,,,
,03/08/2024,,,,,,,
,04/08/2024,,,,,,,
,05/08/2024,,,,,,,
,06/08/2024,,,,,,,
,07/08/2024,,,,,,,
,08/08/2024,,,,,,,
,09/08/2024,,,,,,,
,10/08/2024,,,,,,,
,11/08/2024,,,,,,,
,12/08/2024,,,,,,,
,13/08/2024,,,,,,,
,14/08/2024,,,,,,,
,15/08/2024,,,,,,,
,16/08/2024,,,,,,,
,17/08/2024,,,,,,,
,18/08/2024,,,,,,,
,19/08/2024,,,,,,,
,20/08/2024,,,,,,,
,21/08/2024,,,,,,,
,22/08/2024,,,,,,,
,23/08/2024,,,,,,,
,24/08/2024,,,,,,,
,25/08/2024,,,,,,,
,26/08/2024,,,,,,,
,27/08/2024,,,,,,,
,28/08/2024,,,,,,,
,29/08/2024,,,,,,,
,30/08/2024,,,,,,,
,31/08/2024,,,,,,,
,01/09/2024,,,,,,,
,02/09/2024,,,,,,,
,03/09/2024,,,,,,,
,04/09/2024,,,,,,,
,05/09/2024,,,,,,,
,06/09/2024,,,,,,,
,07/09/2024,,,,,,,
,08/09/2024,,,,,,,
,09/09/2024,,,,,,,
,10/09/2024,,,,,,,
,11/09/2024,,,,,,,
,12/09/2024,,,,,,,
,13/09/2024,,,,,,,
,14/09/2024,,,,,,,
,15/09/2024,,,,,,,
,16/09/2024,,,,,,,
,17/09/2024,,,,,,,
,18/09/2024,,,,,,,
,19/09/2024,,,,,,,
,20/09/2024,,,,,,,
,21/09/2024,,,,,,,
,22/09/2024,,,,,,,
,23/09/2024,,,,,,,
,24/09/2024,,,,,,,
,25/09/2024,,,,,,,
,26/09/2024,,,,,,,
,27/09/2024,,,,,,,
,28/09/2024,,,,,,,
,29/09/2024,,,,,,,
,30/09/2024,,,,,,,
,01/10/2024,,,,,,,
,02/10/2024,,,,,,,
,03/10/2024,,,,,,,
,04/10/2024,,,,,,,
,05/10/2024,,,,,,,
,06/10/2024,,,,,,,
